audio_path,duration_in_sec,duration_in_min,title,sr,vocal_path
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/The Notorious B.I.G. - Big Poppa (Official Music Video) [HD].wav,262,4:22,The Notorious B.I.G. - Big Poppa (Official Music Video) [HD],48000,/scratch/fc2355/separated_rap/htdemucs_ft/The_Notorious_BIG_Big_Poppa_Official_Music_Video_HD/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Rhythm + Flow's Contestants Trade Bars in First Cypher Round ｜ Netflix.wav,244,4:04,Rhythm + Flow's Contestants Trade Bars in First Cypher Round | Netflix,48000,/scratch/fc2355/separated_rap/htdemucs_ft/Rhythm_Flows_Contestants_Trade_Bars_in_First_Cypher_Round_Netflix/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Saweetie - Pretty Bitch Freestyle [Official Music Video].wav,159,2:39,Saweetie - Pretty Bitch Freestyle [Official Music Video],48000,/scratch/fc2355/separated_rap/htdemucs_ft/Saweetie_Pretty_Bitch_Freestyle_Official_Music_Video/vocals.wav
"/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Snoop Dogg & Wiz Khalifa - Young, Wild and Free ft. Bruno Mars [Official Video].wav",257,4:17,"Snoop Dogg & Wiz Khalifa - Young, Wild and Free ft. Bruno Mars [Official Video]",48000,/scratch/fc2355/separated_rap/htdemucs_ft/Snoop_Dogg_Wiz_Khalifa_Young_Wild_and_Free_ft_Bruno_Mars_Official_Video/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Ed Sheeran & Travis Scott - Antisocial [Official Music Video].wav,208,3:28,Ed Sheeran & Travis Scott - Antisocial [Official Music Video],48000,/scratch/fc2355/separated_rap/htdemucs_ft/Ed_Sheeran_Travis_Scott_Antisocial_Official_Music_Video/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/GloRilla - Yeah Glo! (Official Music Video).wav,148,2:28,GloRilla - Yeah Glo! (Official Music Video),48000,/scratch/fc2355/separated_rap/htdemucs_ft/GloRilla_Yeah_Glo_Official_Music_Video/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/The Lady Of Rage - Afro Puffs (Official Video).wav,357,5:57,The Lady Of Rage - Afro Puffs (Official Video),48000,/scratch/fc2355/separated_rap/htdemucs_ft/The_Lady_Of_Rage_Afro_Puffs_Official_Video/vocals.wav
"/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Kendrick Lamar, SZA - All The Stars.wav",234,3:54,"Kendrick Lamar, SZA - All The Stars",48000,/scratch/fc2355/separated_rap/htdemucs_ft/Kendrick_Lamar_SZA_All_The_Stars/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Rich Brian - Dat $tick (Official Video).wav,129,2:09,Rich Brian - Dat $tick (Official Video),48000,/scratch/fc2355/separated_rap/htdemucs_ft/Rich_Brian_Dat_tick_Official_Video/vocals.wav
/scratch/fc2355/RawDataOfRapAndSpeech/RapRawData/Latto - In n Out (Official Video) ft. City Girls.wav,224,3:44,Latto - In n Out (Official Video) ft. City Girls,48000,/scratch/fc2355/separated_rap/htdemucs_ft/Latto_In_n_Out_Official_Video_ft_City_Girls/vocals.wav
